#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-08-25T17:27:42 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ521a3aed13e2 
#INFO -out.max=1000 
#INFO queryParameters=13 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/139/2300&tab:{J/AJ/139/2300/table1}&key:source=J/AJ/139/2300&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/AJ/139/2300/table1
#-order=I
#-out=Filter
#-out=ID
#-out=HJD
#-out=mag
#-out=e_mag
#

#RESOURCE=yCat_51392300
#Name: J/AJ/139/2300
#Title: BVIc light curves of 3 type II Cepheids (Rabidoux+, 2010)
#Table J_AJ_139_2300_table1:
#Name: J/AJ/139/2300/table1
#Title: BVIc photometry of V154 in M3, V42 and V84 in M5 \vizContent{timeSerie}(\wGraph{J/AJ/139/2300/./table1}{}{light curve})
#---Details of Columns:
    Filter      (A1)    [BVI] Photometry filter in the Johnson-Cousins system [ucd=instr.bandpass]
    ID          (A4)    Identification number for the variable star [ucd=meta.id;meta.main]
    HJD (d)     (F11.3) Heliocentric Julian Date of mid-exposure [ucd=time.epoch]
    mag (mag)   (F6.3)  Observed magnitude in Filter [ucd=phot.mag]
    e_mag (mag) (F6.3)  Uncertainty in mag [ucd=stat.error;phot.mag]
- ---- ----------- ------ ------
F                               
i                               
l                               
t                               
e                  mag    e_mag 
r ID   HJD (d)     (mag)  (mag) 
- ---- ----------- ------ ------
B V154 2452763.545 13.240  0.030
B V154 2452763.547 13.260  0.030
B V154 2452782.584 13.210  0.020
B V154 2452782.587 13.130  0.020
B V154 2452796.630 13.450  0.030
B V154 2452796.631 13.600  0.020
B V154 2452800.628 12.150  0.010
B V154 2452800.629 12.100  0.010
B V154 2452807.620 12.990  0.020
B V154 2452807.628 13.010  0.020
B V154 2452810.629 13.130  0.030
B V154 2452812.583 13.260  0.050
B V154 2452814.587 12.590  0.020
B V154 2452815.589 12.260  0.010
B V154 2452815.651 12.270  0.010
B V154 2452815.660 12.240  0.010
B V154 2452821.621 12.640  0.020
B V154 2452821.644 12.620  0.020
B V154 2452822.588 12.950  0.020
B V154 2452823.582 13.040  0.030
B V154 2452835.626 12.740  0.020
B V154 2452839.621 13.240  0.020
B V154 2452843.580 13.320  0.030
B V154 2452844.579 12.980  0.020
B V154 2452844.584 12.940  0.030
B V154 2452844.637 12.960  0.020
B V154 2452845.587 12.500  0.010
B V154 2452849.581 12.600  0.020
B V154 2452850.622 12.640  0.020
B V154 2453100.586 13.590  0.040
B V154 2453153.628 12.370  0.010
B V154 2453159.625 12.980  0.020
B V154 2453160.625 13.290  0.030
B V154 2453160.627 13.370  0.020
B V154 2453171.582 12.740  0.030
B V154 2453176.583 13.340  0.030
B V154 2453177.624 13.620  0.050
B V154 2453179.581 13.150  0.030
B V154 2453185.661 12.670  0.020
B V154 2453185.620 12.660  0.020
B V154 2453185.621 12.620  0.010
B V154 2453186.626 12.780  0.020
B V154 2453187.585 12.770  0.020
B V154 2453188.586 12.860  0.020
B V154 2453194.628 13.360  0.030
B V154 2453201.627 12.770  0.010
B V154 2453202.630 12.810  0.010
B V154 2453205.581 13.050  0.030
B V154 2453212.586 12.440  0.020
B V154 2453213.586 12.190  0.010
B V154 2453214.578 12.100  0.010
B V154 2453215.625 12.510  0.020
B V154 2453216.580 12.750  0.020
V V154 2452756.578 12.060  0.010
V V154 2452756.583 12.060  0.010
V V154 2452756.667 12.070  0.010
V V154 2452757.627 12.250  0.020
V V154 2452763.539 12.700  0.020
V V154 2452763.589 12.690  0.020
V V154 2452782.586 12.790  0.020
